id,PetName,Breed,Age,Description
89,White-fronted bee-eater,Merops bullockoides,12,Female
90,Arctic tern,Sterna paradisaea,26,Male
91,Spotted deer,Axis axis,19,Female
92,Burrowing owl,Speotyte cuniculata,19,Male
93,"Bulbul, black-eyed",Pycnonotus barbatus,20,Genderqueer
94,Bohor reedbuck,Redunca redunca,28,Female
95,"Tinamou, elegant crested",Eudromia elegans,26,Female
96,Greater adjutant stork,Leptoptilus dubius,28,Male
97,Mexican boa,Boa constrictor mexicana,3,Male
98,Swamp deer,Cervus duvauceli,12,Female
99,"Monitor, water",Varanus salvator,2,Male
100,Hawk-headed parrot,Deroptyus accipitrinus,2,Male
101,Desert spiny lizard,Sceloporus magister,13,Female
102,"Dunnart, fat-tailed",Smithopsis crassicaudata,17,Female
103,"Bear, black",Ursus americanus,28,Female
104,American Virginia opossum,Didelphis virginiana,7,Male
105,"Cat, european wild",Felis silvestris lybica,21,Female
106,Pine snake (unidentified),Pituophis melanaleucus,7,Female
107,Common waterbuck,Kobus defassa,19,Male
108,White spoonbill,Platalea leucordia,1,Female
109,Mara,Dolichitus patagonum,1,Agender
110,"Peacock, indian",Pavo cristatus,3,Female
111,"Gull, pacific",Gabianus pacificus,16,Agender
112,Southern tamandua,Tamandua tetradactyla,14,Male
113,Llama,Lama glama,30,Female
114,Bennett's wallaby,Macropus rufogriseus,18,Female
115,"Salmon, sockeye",Oncorhynchus nerka,5,Female
116,"Monkey, bleeding heart",Theropithecus gelada,13,Male
117,Rock dove,Columba livia,20,Male
118,Defassa waterbuck,Kobus defassa,24,Female
119,Sacred ibis,Threskionis aethiopicus,8,Male
120,Gray rhea,Rhea americana,25,Female
121,Sportive lemur,Lepilemur rufescens,14,Female
122,Brush-tailed rat kangaroo,Bettongia penicillata,9,Male
123,"Boa, cook's tree",Corallus hortulanus cooki,4,Male
124,Black-tailed deer,Odocoileus hemionus,23,Female
125,"Dove, little brown",Streptopelia senegalensis,29,Male
126,"Deer, black-tailed",Odocoileus hemionus,12,Female
127,Dromedary camel,Camelus dromedarius,16,Male
128,"Iguana, marine",Amblyrhynchus cristatus,28,Male
129,"Vulture, egyptian",Neophron percnopterus,20,Female
130,"Duiker, common",Sylvicapra grimma,12,Male
131,Oriental short-clawed otter,Aonyx cinerea,14,Female
132,"Fox, grey",Vulpes cinereoargenteus,24,Non-binary
133,"Lynx, african",Felis caracal,5,Female
134,Mississippi alligator,Alligator mississippiensis,12,Female
135,House sparrow,Passer domesticus,30,Female
136,"Roadrunner, greater",Geococcyx californianus,1,Male
137,"Booby, blue-footed",Sula nebouxii,30,Female
138,Lapwing (unidentified),Vanellus sp.,9,Male
139,Spectacled caiman,Caiman crocodilus,17,Male
140,"Dragonfly, russian",Libellula quadrimaculata,24,Female
141,African ground squirrel (unidentified),Xerus sp.,19,Female
142,"Flicker, campo",Colaptes campestroides,20,Male
143,Common mynah,Acridotheres tristis,11,Female
144,"Bear, american black",Ursus americanus,21,Male
145,"Constrictor, eastern boa",Acrantophis madagascariensis,23,Male
146,"Owl, great horned",Bubo virginianus,1,Male
147,Barking gecko,Phylurus milli,28,Female
148,"Lynx, african",Felis caracal,19,Female
149,Golden brush-tailed possum,Trichosurus vulpecula,28,Male
150,African wild cat,Felis silvestris lybica,8,Genderqueer
151,"Heron, giant",Ardea golieth,4,Male
152,Arctic tern,Sterna paradisaea,15,Female
153,"Goose, andean",Chloephaga melanoptera,7,Female
154,Oribi,Ourebia ourebi,22,Female
155,Springhare,Pedetes capensis,24,Female
156,"Peccary, white-lipped",Tayassu pecari,29,Female
157,"Crow, house",Corvus brachyrhynchos,4,Male
158,"Porcupine, crested",Hystrix cristata,10,Male
159,"Jackal, black-backed",Canis mesomelas,17,Female
160,Flightless cormorant,Nannopterum harrisi,27,Female
161,"Screamer, crested",Chauna torquata,25,Female
162,Wolf spider,Lycosa godeffroyi,26,Female
163,Yellow mongoose,Cynictis penicillata,10,Female
164,"Colobus, magistrate black",Colobus guerza,24,Bigender
165,"Fox, north american red",Vulpes vulpes,9,Female
166,"Skua, long-tailed",Stercorarius longicausus,8,Male
167,Masked booby,Sula dactylatra,15,Genderfluid
168,Common langur,Semnopithecus entellus,22,Female
169,Mexican beaded lizard,Heloderma horridum,25,Male
170,Australian spiny anteater,Tachyglossus aculeatus,20,Female
171,Eurasian hoopoe,Upupa epops,30,Male
172,Lilac-breasted roller,Coracias caudata,28,Female
173,Native cat,Dasyurus viverrinus,30,Female
174,"Skunk, striped",Mephitis mephitis,10,Male
175,"Bushbaby, large-eared",Galago crassicaudataus,19,Female
176,Violet-crested turaco,Tauraco porphyrelophus,18,Female
177,Wild boar,Sus scrofa,7,Female
178,Javanese cormorant,Phalacrocorax niger,16,Genderfluid
179,"Gecko, bent-toed",Cyrtodactylus louisiadensis,7,Male
180,Emu,Dromaeus novaehollandiae,1,Male
181,"Duiker, gray",Sylvicapra grimma,29,Female
182,Great white pelican,Pelecans onocratalus,6,Non-binary
183,Southern white-crowned shrike,Eurocephalus anguitimens,25,Female
184,"Stork, black-necked",Ephippiorhynchus mycteria,3,Non-binary
185,"Meerkat, red",Cynictis penicillata,22,Male
186,"Pintail, bahama",Anas bahamensis,26,Polygender
187,Mudskipper (unidentified),unavailable,3,Polygender
188,"Egret, great",Casmerodius albus,21,Male
189,Tokay gecko,Gekko gecko,5,Female
190,Openbill stork,Anastomus oscitans,8,Male
191,"Phalarope, northern",Phalaropus lobatus,20,Male
192,"Meerkat, red",Cynictis penicillata,21,Male
193,"Lion, african",Panthera leo,28,Female
194,"Dunnart, fat-tailed",Smithopsis crassicaudata,5,Male
195,Mexican beaded lizard,Heloderma horridum,30,Polygender
196,Canadian tiger swallowtail butterfly,Papilio canadensis,4,Genderqueer
197,"Lemur, lesser mouse",Microcebus murinus,6,Male
198,White-winged tern,Chlidonias leucopterus,26,Female
199,Feathertail glider,Acrobates pygmaeus,29,Female
200,"Bulbul, black-eyed",Pycnonotus barbatus,16,Male
201,"Dragon, frilled",Chlamydosaurus kingii,25,Male
202,Salmon pink bird eater tarantula,Lasiodora parahybana,1,Male
203,Eastern box turtle,Terrapene carolina,8,Male
204,Springbok,Antidorcas marsupialis,10,Female
205,"Skink, blue-tongued",Tiliqua scincoides,21,Female
206,Burmese black mountain tortoise,Manouria emys,28,Female
207,"Deer, swamp",Cervus duvauceli,8,Female
208,Common genet,Genetta genetta,22,Male
209,"Robin, kalahari scrub",Certotrichas paena,17,Female
210,"Woodcock, american",Scolopax minor,7,Non-binary
211,Pale white-eye,Zosterops pallidus,13,Male
212,Red brocket,Mazama americana,26,Female
213,"Screamer, southern",Chauna torquata,7,Female
214,Southern tamandua,Tamandua tetradactyla,29,Female
215,Rock dove,Columba livia,4,Male
216,Carpet python,Morelia spilotes variegata,22,Female
217,Blue and gold macaw,Ara ararauna,18,Female
218,Dingo,Canis dingo,28,Male
219,"Badger, eurasian",Meles meles,8,Female
220,"Magpie, black-backed",Gymnorhina tibicen,28,Male
221,American woodcock,Scolopax minor,3,Female
222,Crab (unidentified),unavailable,16,Genderfluid
223,"Shrike, southern white-crowned",Eurocephalus anguitimens,2,Female
224,Wolf spider,Lycosa godeffroyi,1,Male
225,Fringe-eared oryx,Oryx gazella callotis,18,Female
226,"Corella, long-billed",Cacatua tenuirostris,17,Male
227,Red-knobbed coot,Fulica cristata,23,Polygender
228,Mexican beaded lizard,Heloderma horridum,18,Female
229,"Heron, giant",Ardea golieth,3,Male
230,"Stork, jabiru",Ephippiorhynchus mycteria,13,Female
231,Black-winged stilt,Himantopus himantopus,16,Male
232,Red brocket,Mazama americana,10,Male
233,Malachite kingfisher,Corythornis cristata,13,Female
234,Steenbok,Raphicerus campestris,20,Male
235,"Crane, sarus",Grus antigone,3,Male
236,Western palm tanager (unidentified),unavailable,24,Male
237,"Pademelon, red-legged",Thylogale stigmatica,15,Female
238,Onager,Equus hemionus,26,Polygender
239,Arctic fox,Alopex lagopus,6,Female
240,Klipspringer,Oreotragus oreotragus,28,Female
241,Common mynah,Acridotheres tristis,30,Female
242,"Bulbul, african red-eyed",Pycnonotus nigricans,24,Female
243,"Ibis, sacred",Threskionis aethiopicus,13,Male
244,Paca,Agouti paca,26,Male
245,Black swan,Cygnus atratus,3,Female
246,"Porcupine, crested",Hystrix cristata,20,Male
247,Rufous tree pie,Dendrocitta vagabunda,1,Bigender
248,"Stork, jabiru",Ephippiorhynchus mycteria,30,Male
249,Common zebra,Equus burchelli,19,Male
250,Kirk's dik dik,Madoqua kirkii,29,Male
251,Red-cheeked cordon bleu,Uraeginthus bengalus,27,Male
252,"Bear, sloth",Melursus ursinus,16,Female
253,"Wambenger, red-tailed",Phascogale calura,16,Female
254,"Weaver, chestnut",Ploceus rubiginosus,25,Male
255,"Ox, musk",Ovibos moschatus,28,Male
256,Asiatic wild ass,Equus hemionus,5,Male
257,"Penguin, fairy",Eudyptula minor,18,Female
258,Great horned owl,Bubo virginianus,29,Female
259,"Bird, black-throated butcher",Cracticus nigroagularis,19,Male
260,"Starling, superb",Lamprotornis superbus,9,Male
261,Great kiskadee,Pitangus sulphuratus,21,Female
262,"Penguin, galapagos",Spheniscus mendiculus,24,Male
263,Red-shouldered glossy starling,Lamprotornis nitens,21,Female
264,Black-tailed prairie dog,Cynomys ludovicianus,28,Female
265,"Duiker, common",Sylvicapra grimma,23,Male
266,Common dolphin,Delphinus delphis,25,Male
267,"Trumpeter, dark-winged",Psophia viridis,9,Male
268,Dabchick,Tachybaptus ruficollis,20,Male
269,Common raccoon,Procyon lotor,30,Female
270,Grizzly bear,Ursus arctos,9,Genderfluid
271,Potoroo,Potorous tridactylus,30,Female
272,"Lemming, collared",Dicrostonyx groenlandicus,5,Non-binary
273,"Racer, american",Coluber constrictor,8,Male
274,Blue-tongued lizard,Tiliqua scincoides,22,Male
275,White-rumped vulture,Gyps bengalensis,6,Female
276,"Stork, marabou",Leptoptilos crumeniferus,28,Female
277,"Lemming, collared",Dicrostonyx groenlandicus,8,Male
278,Bengal vulture,Gyps bengalensis,29,Male
279,African porcupine,Hystrix cristata,5,Male
280,Malagasy ground boa,Acrantophis madagascariensis,12,Female
281,"Phalarope, northern",Phalaropus lobatus,14,Female
282,Short-beaked echidna,Tachyglossus aculeatus,15,Male
283,Indian porcupine,Hystrix indica,26,Male
284,"Goose, cape barren",Cereopsis novaehollandiae,19,Male
285,"Boa, mexican",Boa constrictor mexicana,25,Female
286,Russian dragonfly,Libellula quadrimaculata,20,Female
287,Yak,Bos mutus,27,Male
288,Galapagos dove,Zenaida galapagoensis,28,Polygender
289,"Lizard, frilled",Chlamydosaurus kingii,22,Female
290,"Rat, desert kangaroo",Dipodomys deserti,7,Male
291,"Ibis, glossy",Plegadis falcinellus,18,Female
292,Common long-nosed armadillo,Dasypus novemcinctus,19,Female
293,Red deer,Cervus elaphus,11,Male
294,"Cat, miner's",Bassariscus astutus,3,Male
295,Flightless cormorant,Nannopterum harrisi,1,Female
296,"Starling, greater blue-eared",Lamprotornis chalybaeus,9,Male
297,Savannah deer (unidentified),unavailable,17,Female
298,Cape raven,Corvus albicollis,11,Female
299,Southern tamandua,Tamandua tetradactyla,26,Male
300,"Curlew, black",Haematopus ater,7,Male
301,African fish eagle,Haliaetus vocifer,28,Male
302,Hottentot teal,Anas punctata,21,Male
303,"Bulbul, black-fronted",Pycnonotus nigricans,29,Female
304,"Rabbit, eastern cottontail",Sylvilagus floridanus,3,Female
305,Savannah deer (unidentified),unavailable,18,Female
306,"Badger, american",Taxidea taxus,20,Genderfluid
307,Short-nosed bandicoot,Isoodon obesulus,23,Female
308,Komodo dragon,Varanus komodensis,20,Female
309,White-throated kingfisher,Halcyon smyrnesis,26,Female
310,Stone sheep,Ovis dalli stonei,20,Male
311,"Tamandua, southern",Tamandua tetradactyla,8,Male
312,"White-eye, pale",Zosterops pallidus,7,Genderfluid
313,Goliath heron,Ardea golieth,6,Male
314,Harbor seal,Phoca vitulina,9,Male
315,"Dragon, komodo",Varanus komodensis,5,Female
316,"Macaw, scarlet",Ara macao,1,Male
317,"Hawk-eagle, crowned",Spizaetus coronatus,7,Female
318,Swamp deer,Cervus duvauceli,17,Male
319,"Glider, squirrel",Petaurus norfolcensis,26,Female
320,"Dragon, ornate rock",Ctenophorus ornatus,23,Male
321,Common wombat,Vombatus ursinus,14,Male
322,Columbian rainbow boa,Epicrates cenchria maurus,2,Male
323,Great egret,Casmerodius albus,21,Female
324,"Egret, great",Casmerodius albus,22,Male
325,Striped hyena,Hyaena hyaena,16,Male
326,Serval,Felis serval,30,Male
327,"Fox, blue",Alopex lagopus,30,Male
328,"Darter, african",Anhinga rufa,6,Female
329,South American sea lion,Otaria flavescens,26,Male
330,"Tern, royal",Thalasseus maximus,13,Male
331,Crested porcupine,Hystrix cristata,30,Male
332,"Cat, tiger",Dasyurus maculatus,13,Female
333,Blue wildebeest,Connochaetus taurinus,2,Male
334,"Francolin, coqui",Francolinus coqui,19,Bigender
335,"Cat, toddy",Paradoxurus hermaphroditus,4,Male
336,Red-breasted nuthatch,Sitta canadensis,26,Female
337,"Baboon, savanna",Papio cynocephalus,13,Male
338,Red deer,Cervus elaphus,20,Male
339,Golden-mantled ground squirrel,Spermophilus lateralis,25,Male
340,"Goose, andean",Chloephaga melanoptera,10,Female
341,"Oystercatcher, blackish",Haematopus ater,5,Female
342,Crested porcupine,Hystrix cristata,3,Agender
343,"Coatimundi, ring-tailed",Nasua nasua,16,Female
344,Yellow-crowned night heron,Nyctanassa violacea,1,Female
345,Pied cormorant,Phalacrocorax varius,23,Male
346,"Lion, african",Panthera leo,11,Female
347,African skink,Mabuya spilogaster,10,Female
348,White-throated monitor,Varanus albigularis,24,Bigender
349,"Langur, common",Semnopithecus entellus,23,Male
350,Feral rock pigeon,Columba livia,13,Female
351,Euro wallaby,Macropus robustus,27,Male
352,African black crake,Limnocorax flavirostra,23,Male
353,"Bleu, red-cheeked cordon",Uraeginthus bengalus,8,Female
354,"Caracara, yellow-headed",Milvago chimachima,25,Male
355,Lappet-faced vulture,Aegypius tracheliotus,5,Male
356,Fringe-eared oryx,Oryx gazella callotis,5,Non-binary
357,Striped skunk,Mephitis mephitis,27,Male
358,Elegant crested tinamou,Eudromia elegans,12,Male
359,"Bat, little brown",Myotis lucifugus,21,Male
360,"Dik, kirk's dik",Madoqua kirkii,17,Male
361,"Mynah, indian",Acridotheres tristis,4,Male
362,Australian masked owl,Tyto novaehollandiae,23,Female
363,"Lizard, collared",Crotaphytus collaris,22,Female
364,Stanley bustard,Neotis denhami,15,Polygender
365,Tawny eagle,Anitibyx armatus,7,Male
366,"Heron, black-crowned night",Nycticorax nycticorax,24,Male
367,"Pelican, brown",Pelecanus occidentalis,10,Female
368,"Porcupine, african",Hystrix cristata,26,Male
369,Egyptian vulture,Neophron percnopterus,3,Male
370,"Alligator, american",Alligator mississippiensis,23,Agender
371,"Otter, brazilian",Pteronura brasiliensis,6,Male
372,Griffon vulture,Gyps fulvus,2,Male
373,Cuis,Microcavia australis,10,Female
374,Crown of thorns starfish,Acanthaster planci,28,Non-binary
375,Denham's bustard,Neotis denhami,2,Female
376,"Sungazer, yellow-brown",Cordylus giganteus,27,Female
377,Crab-eating fox,Dusicyon thous,21,Male
378,Pallas's fish eagle,Haliaeetus leucoryphus,28,Female
379,Asian openbill,Anastomus oscitans,22,Female
380,Bushbuck,Tragelaphus scriptus,29,Female
381,"Fox, grey",Vulpes cinereoargenteus,1,Male
382,Northern fur seal,Callorhinus ursinus,1,Male
383,"Parakeet, rose-ringed",Psittacula krameri,2,Non-binary
384,Nile crocodile,Crocodylus niloticus,10,Male
385,"Bustard, kori",Choriotis kori,13,Male
386,Blue-breasted cordon bleu,Uraeginthus angolensis,26,Male
387,Dusky rattlesnake,Crotalus triseriatus,30,Male
388,African elephant,Loxodonta africana,11,Female
389,White-browed owl,Ninox superciliaris,2,Male
390,Woodchuck,Marmota monax,19,Male
391,Brush-tailed rat kangaroo,Bettongia penicillata,26,Male
392,"Goose, cereopsis",Cereopsis novaehollandiae,7,Polygender
393,Neotropic cormorant,Phalacrocorax brasilianus,25,Non-binary
394,"Whale, long-finned pilot",Globicephala melas,6,Male
395,Ornate rock dragon,Ctenophorus ornatus,23,Male
396,"Fox, grey",Vulpes cinereoargenteus,19,Male
397,Springbok,Antidorcas marsupialis,15,Female
398,"Skua, long-tailed",Stercorarius longicausus,12,Male
399,Crowned eagle,Spizaetus coronatus,11,Female
400,Ornate rock dragon,Ctenophorus ornatus,23,Male
401,Western palm tanager (unidentified),unavailable,12,Male
402,African wild cat,Felis silvestris lybica,18,Male
403,Hoary marmot,Marmota caligata,9,Male
404,Pied butcher bird,Cracticus nigroagularis,6,Female
405,Brown pelican,Pelecanus occidentalis,17,Female
406,Ringtail cat,Bassariscus astutus,16,Male
407,Jabiru stork,Ephippiorhynchus mycteria,30,Female
408,Black vulture,Aegypius tracheliotus,27,Female
409,Scaly-breasted lorikeet,Trichoglossus chlorolepidotus,22,Female
410,"Shrike, southern white-crowned",Eurocephalus anguitimens,9,Female
411,Steller's sea lion,Eumetopias jubatus,2,Female
412,"Grouse, greater sage",Centrocercus urophasianus,12,Female
413,Praying mantis (unidentified),unavailable,21,Male
414,"Jackal, black-backed",Canis mesomelas,22,Female
415,"Tortoise, burmese brown mountain",Manouria emys,10,Male
416,Reindeer,Rangifer tarandus,11,Non-binary
417,"Goose, greylag",Anser anser,21,Male
418,"Ibis, puna",Plegadis ridgwayi,30,Female
419,"Heron, green-backed",Butorides striatus,10,Female
420,"Lorikeet, scaly-breasted",Trichoglossus chlorolepidotus,29,Female
421,Common wombat,Vombatus ursinus,28,Male
422,Rock dove,Columba livia,2,Male
423,Large cormorant,Phalacrocorax carbo,30,Male
424,Long-crested hawk eagle,Lophoaetus occipitalis,2,Male
425,African buffalo,Snycerus caffer,19,Male
426,Greater adjutant stork,Leptoptilus dubius,11,Polygender
427,Buttermilk snake,Coluber constrictor,16,Male
428,"Heron, green",Butorides striatus,3,Female
429,Red-tailed phascogale,Phascogale calura,8,Female
430,Collared lemming,Dicrostonyx groenlandicus,14,Female
431,Ocelot,Felis pardalis,16,Female
432,"Barbet, black-collared",Lybius torquatus,20,Male
433,Black kite,Milvus migrans,9,Male
434,Paddy heron (unidentified),unavailable,3,Polygender
435,Galapagos mockingbird,Nesomimus trifasciatus,25,Male
436,Yellow-brown sungazer,Cordylus giganteus,9,Female
437,"Goose, cereopsis",Cereopsis novaehollandiae,2,Female
438,South American meadowlark (unidentified),unavailable,1,Male
439,Peregrine falcon,Falco peregrinus,25,Bigender
440,Bent-toed gecko,Cyrtodactylus louisiadensis,29,Male
441,Feathertail glider,Acrobates pygmaeus,30,Male
442,Red sheep,Ovis ammon,21,Male
443,Cheetah,Acinynox jubatus,15,Male
444,"Owl, burrowing",Speotyte cuniculata,23,Male
445,"Lion, asian",Panthera leo persica,1,Male
446,Eastern cottontail rabbit,Sylvilagus floridanus,19,Male
447,"Alligator, american",Alligator mississippiensis,18,Female
448,"Lorikeet, scaly-breasted",Trichoglossus chlorolepidotus,16,Female
449,Indian red admiral,Vanessa indica,25,Male
450,"Capuchin, black-capped",Cebus apella,22,Male
451,Clark's nutcracker,Nucifraga columbiana,13,Female
452,Mudskipper (unidentified),unavailable,9,Female
453,"Bunting, crested",Melophus lathami,14,Female
454,Little cormorant,Phalacrocorax niger,7,Female
455,Black-throated butcher bird,Cracticus nigroagularis,20,Female
456,Mountain duck,Hymenolaimus malacorhynchus,20,Male
457,"Ibis, puna",Plegadis ridgwayi,4,Female
458,"Crow, pied",Corvus albus,2,Male
459,Kelp gull,Larus dominicanus,21,Male
460,"Dolphin, bottle-nose",Tursiops truncatus,24,Male
461,Asian red fox,Vulpes vulpes,26,Male
462,Argalis,Ovis ammon,14,Female
463,Chacma baboon,Papio ursinus,11,Bigender
464,"Boa, malagasy ground",Acrantophis madagascariensis,17,Male
465,Kaffir cat,Felis silvestris lybica,20,Male
466,"Sandgrouse, yellow-throated",Pterocles gutturalis,10,Female
467,"Dove, little brown",Streptopelia senegalensis,8,Male
468,Zorilla,Ictonyx striatus,16,Female
469,"Boa, columbian rainbow",Epicrates cenchria maurus,15,Genderfluid
470,Glossy starling (unidentified),Lamprotornis sp.,6,Female
471,American woodcock,Scolopax minor,8,Male
472,Turkey vulture,Cathartes aura,19,Male
473,"Falcon, peregrine",Falco peregrinus,16,Bigender
474,Long-tailed skua,Stercorarius longicausus,4,Female
475,Woylie,Bettongia penicillata,14,Male
476,"Ibis, glossy",Plegadis falcinellus,21,Male
477,"Kangaroo, eastern grey",Macropus giganteus,29,Male
478,"Marmot, hoary",Marmota caligata,5,Female
479,Agouti,Dasyprocta leporina,7,Male
480,Red-tailed phascogale,Phascogale calura,14,Male
481,Asiatic jackal,Canis aureus,8,Male
482,Savanna baboon,Papio cynocephalus,7,Male
483,Sun gazer,Cordylus giganteus,23,Male
484,"Langur, common",Semnopithecus entellus,27,Female
485,Rufous-collared sparrow,Zonotrichia capensis,16,Female
486,Common eland,Taurotagus oryx,7,Female
487,"Rhea, greater",Rhea americana,5,Female
488,"Cockatoo, long-billed",Cacatua tenuirostris,12,Female
489,"Gull, southern black-backed",Larus dominicanus,1,Male
490,Giant anteater,Myrmecophaga tridactyla,3,Genderfluid
491,Carmine bee-eater,Merops nubicus,4,Female
492,"Lemur, sportive",Lepilemur rufescens,14,Female
493,"Hartebeest, coke's",Alcelaphus buselaphus cokii,6,Male
494,"Pigeon, feral rock",Columba livia,15,Female
495,"Woodpecker, red-headed",Melanerpes erythrocephalus,14,Female
496,"Lourie, grey",Lorythaixoides concolor,7,Genderqueer
497,Common langur,Semnopithecus entellus,18,Male
498,Black bear,Ursus americanus,7,Male
499,Greylag goose,Anser anser,8,Male
500,Brazilian otter,Pteronura brasiliensis,4,Male
501,Ring-tailed lemur,Lemur catta,1,Female
502,South American meadowlark (unidentified),unavailable,22,Female
503,Small-spotted genet,Genetta genetta,3,Male
504,Savannah deer (unidentified),unavailable,9,Female
505,Red howler monkey,Alouatta seniculus,18,Male
506,Aardwolf,Proteles cristatus,1,Female
507,Galapagos mockingbird,Nesomimus trifasciatus,26,Female
508,Tree porcupine,Coendou prehensilis,23,Female
509,"Stork, white",Ciconia ciconia,20,Female
510,Cape starling,Lamprotornis nitens,1,Male
511,Scottish highland cow,Bos taurus,22,Female
512,Greater adjutant stork,Leptoptilus dubius,16,Male
513,"Starling, cape",Lamprotornis nitens,27,Male
514,Laughing kookaburra,Dacelo novaeguineae,5,Female
515,African snake (unidentified),unavailable,18,Genderqueer
516,Bottle-nose dolphin,Tursiops truncatus,24,Male
517,Yellow-throated sandgrouse,Pterocles gutturalis,22,Female
518,"Wallaby, tammar",Macropus eugenii,12,Female
519,"Nutcracker, clark's",Nucifraga columbiana,1,Male
520,Woodrat (unidentified),Neotoma sp.,26,Female
521,Malay squirrel (unidentified),unavailable,15,Male
522,"Dove, galapagos",Zenaida galapagoensis,9,Female
